TractID,TotalPopulation,TotalPop18plus,Mammography_Pct,Mammography_CI_Low,Mammography_CI_High,Uninsured_Pct,Uninsured_CI_Low,Uninsured_CI_High,Geolocation
25025130406,5639,4137,82.7,78.2,86.7,8.0,6.7,9.6,POINT (-71.1514976 42.2600645)
25025140102,4958,3929,86.9,83.4,90.1,4.9,3.8,6.0,POINT (-71.1426123 42.2446858)
25025140105,3592,2934,83.7,79.5,87.5,8.6,6.9,10.4,POINT (-71.1251854 42.2680071)
25025140106,2178,1629,82.1,77.5,86.2,9.1,7.1,11.2,POINT (-71.1371416 42.2738738)
25025140107,2778,2220,85.3,81.3,88.7,7.2,5.4,9.1,POINT (-71.1284206 42.2577216)
25025140201,2311,1826,85.3,81.4,88.8,6.8,5.5,8.5,POINT (-71.1305801 42.2375297)
25025140202,5824,4603,84.3,80.1,88.0,5.7,4.5,7.2,POINT (-71.117543 42.2495181)
25025140300,6843,5515,86.2,82.5,89.5,7.3,5.9,9.0,POINT (-71.1188131 42.2587734)
25025140400,7859,6338,84.0,79.8,87.7,7.3,5.8,9.1,POINT (-71.1118088 42.2692219)
25025160102,3823,2724,76.5,70.9,81.7,19.8,15.4,24.5,POINT (-71.0288541 42.3921702)
25025160103,4646,3356,76.0,70.2,81.3,20.6,16.0,25.3,POINT (-71.0289262 42.3877265)
25025160200,4154,2992,79.9,74.6,84.4,26.0,20.6,31.7,POINT (-71.0357615 42.389784)
25025160300,2753,2462,83.7,79.2,87.5,7.6,5.8,9.7,POINT (-71.046734 42.3880151)
25025160400,3878,3060,79.7,74.6,84.2,13.4,9.6,17.3,POINT (-71.042496 42.395316)
25025160501,6105,4648,81.0,76.2,85.2,17.9,13.7,22.7,POINT (-71.0328709 42.398307)
25025160502,5604,4112,77.7,72.2,82.8,19.0,14.9,23.6,POINT (-71.0196353 42.3943098)
25025160601,4331,3391,84.1,79.9,87.8,12.3,9.3,15.6,POINT (-71.0274494 42.4023706)
25025160602,5493,4288,80.4,75.6,84.8,13.5,10.5,16.8,POINT (-71.0328849 42.4072505)
25025170101,4023,3194,82.8,78.3,86.8,10.2,7.9,12.7,POINT (-71.0219928 42.4080527)
25025170102,5015,3869,82.9,78.6,86.9,9.4,7.3,11.8,POINT (-71.0225866 42.4130325)
25025170200,5305,4110,78.8,73.5,83.5,10.9,8.7,13.2,POINT (-71.0198559 42.4167931)
25025170301,7045,5682,81.5,76.7,85.8,7.1,5.5,8.9,POINT (-71.0195201 42.4233532)
25025170302,4051,3300,85.3,81.3,88.8,6.1,5.0,7.6,POINT (-71.0113143 42.433429)
25025170400,5761,4442,81.8,77.2,85.9,10.7,8.5,13.3,POINT (-70.9979159 42.4237393)
25025170502,3407,2929,82.8,78.5,86.7,7.7,6.1,9.5,POINT (-70.9711474 42.4359517)
25025170503,1698,1406,83.3,78.8,87.1,8.6,6.7,10.7,POINT (-70.9861723 42.4212255)
25025170504,3157,2644,83.8,79.5,87.6,7.1,5.4,9.1,POINT (-70.9902217 42.4150328)
25025170601,6247,4923,82.9,78.4,86.8,11.0,8.5,14.0,POINT (-71.0076986 42.4073348)
25025170701,2702,2264,82.5,78.0,86.4,9.7,7.5,12.2,POINT (-70.9936992 42.402223)
25025170702,7995,6056,77.8,72.4,82.7,16.4,12.9,20.1,POINT (-70.9974087 42.4066865)
25025170800,5773,4701,81.0,76.2,85.4,10.6,8.4,13.1,POINT (-70.9867637 42.397202)
25025180101,5804,4855,86.1,82.3,89.4,4.9,3.9,6.2,POINT (-70.9750377 42.3869108)
25025180200,4326,3482,82.7,78.0,86.8,5.2,4.1,6.7,POINT (-70.9880989 42.3800132)
25025180301,3169,2553,84.2,80.1,87.9,3.4,2.6,4.4,POINT (-70.989998 42.3722211)
25025180400,1928,1571,82.0,77.5,86.2,3.9,3.0,5.0,POINT (-70.9770258 42.3773816)
25025180500,4089,3432,85.9,81.9,89.3,4.2,3.2,5.3,POINT (-70.9715805 42.3674141)
